"id","speciesx","latin","specieslowercase","speciesy","thesource","estimatebwood1","estimatebwood2","estimatebwood3","estimatebbark1","estimatebbark2","estimatebbark3","estimatebbranches1","estimatebbranches2","estimatebbranches3","estimatebfoliage1","estimatebfoliage2","estimatebfoliage3","sebwood1","sebwood2","sebwood3","sebbark1","sebbark2","sebbark3","sebbranches1","sebbranches2","sebbranches3","sebfoliage1","sebfoliage2","sebfoliage3"
1,"Amelanchier species","Unknown","amelanchier species","All hardwoods","Ung","0.0353","2.0249","0.7048","0.009","1.8677","0.7144","0.0448","2.6855","-0.5911","0.0869","1.8541","-0.5491","0.0009","0.01","0.0167","0.0005","0.0205","0.0332","0.0024","0.0306","0.0456","0.0038","0.0262","0.0407"
2,"American Basswood","Tilia americana","american basswood","Basswood","Lambert","0.0168","1.9844","0.8989","0.0057","1.5881","1.1472","0.0039","2.0084","0.8588","0.0147","1.83","0","0.0014","0.0494","0.0767","0.001","0.0788","0.129","0.0021","0.17","0.2993","0.0039","0.0753","0"
3,"American Beech","Cornus alternifolia","american beech","Beech","Lambert","0.0432","2.0378","0.7","0.0049","1.9057","0.677","0.0355","2.3749","0","0.0452","1.5567","0","0.0053","0.0443","0.0816","0.0015","0.0905","0.1709","0.0045","0.0381","0","0.008","0.0529","0"
4,"American Chestnut","Castanea dentata","american chestnut","All hardwoods","Ung","0.0353","2.0249","0.7048","0.009","1.8677","0.7144","0.0448","2.6855","-0.5911","0.0869","1.8541","-0.5491","0.0009","0.01","0.0167","0.0005","0.0205","0.0332","0.0024","0.0306","0.0456","0.0038","0.0262","0.0407"
5,"American Elm","Ulmus americana","american elm","White elm","Lambert","0.0207","2.2276","0.6488","0.0078","2.454","0","0.0393","2.188","0","0.0516","1.4511","0","0.0039","0.0632","0.1171","0.0024","0.0954","0","0.0059","0.0456","0","0.0028","0.0187","0"
6,"American Hornbeam","Carpinus caroliniana","american hornbeam","All hardwoods","Ung","0.0353","2.0249","0.7048","0.009","1.8677","0.7144","0.0448","2.6855","-0.5911","0.0869","1.8541","-0.5491","0.0009","0.01","0.0167","0.0005","0.0205","0.0332","0.0024","0.0306","0.0456","0.0038","0.0262","0.0407"
7,"American Larch","Larix laricina","american larch","Tamarack larch","Lambert","0.0276","1.6724","1.1443","0.012","1.7059","0.5811","0.0336","3.1335","-1.1559","0.1324","2.114","-0.8781","0.001","0.0208","0.0271","0.0004","0.0243","0.0318","0.0028","0.0694","0.0864","0.0107","0.077","0.0983"
8,"American Mountain-ash","Sorbus americana","american mountain-ash","All hardwoods","Ung","0.0353","2.0249","0.7048","0.009","1.8677","0.7144","0.0448","2.6855","-0.5911","0.0869","1.8541","-0.5491","0.0009","0.01","0.0167","0.0005","0.0205","0.0332","0.0024","0.0306","0.0456","0.0038","0.0262","0.0407"
9,"Balsam Fir","Abies amabilis","balsam fir","Balsam fir","Lambert","0.0294","1.8357","0.864","0.0053","2.0876","0.5842","0.0117","3.5097","-1.3006","0.1245","2.523","-1.123","0.0008","0.0163","0.0213","0.0004","0.0388","0.0506","0.0008","0.0667","0.0773","0.0073","0.075","0.0878"
10,"Balsam Poplar","Populus balsamifera","balsam poplar","Balsam poplar","Lambert","0.0117","1.7757","1.2555","0.018","1.8131","0.5144","0.0112","3.0861","-0.7164","0.0617","1.8615","-0.5375","0.0015","0.0541","0.0883","0.0036","0.0939","0.1438","0.0028","0.1464","0.2179","0.0103","0.1264","0.1855"
11,"Bay-leaved Willow","Salix pentandra","bay-leaved willow","All hardwoods","Ung","0.0353","2.0249","0.7048","0.009","1.8677","0.7144","0.0448","2.6855","-0.5911","0.0869","1.8541","-0.5491","0.0009","0.01","0.0167","0.0005","0.0205","0.0332","0.0024","0.0306","0.0456","0.0038","0.0262","0.0407"
12,"Big-leaf Linden","Tilia platyphyllos","big-leaf linden","All hardwoods","Ung","0.0353","2.0249","0.7048","0.009","1.8677","0.7144","0.0448","2.6855","-0.5911","0.0869","1.8541","-0.5491","0.0009","0.01","0.0167","0.0005","0.0205","0.0332","0.0024","0.0306","0.0456","0.0038","0.0262","0.0407"
13,"Bitternut Hickory","Carya cordiformis","bitternut hickory","Hickory","Lambert","0.0139","1.5913","1.508","0.0081","1.4943","1.1324","0.005","3.0463","0","0.0121","2.0865","0","0.002","0.0472","0.0797","0.0021","0.0886","0.1413","0.0014","0.09","0","0.0025","0.0623","0"
14,"Black Ash","Fraxinus nigra","black ash","Black Ash","Lambert","0.0306","2.1836","0.574","0.0897","2.2634","-0.567","0.0994","2.163","-0.4809","0.0124","1.0325","0.8747","0.0081","0.0575","0.1344","0.0452","0.1301","0.2761","0.0273","0.1432","0.2285","0.0047","0.1425","0.2638"
15,"Black Cherry","Prunus serotina","black cherry","Black cherry","Lambert","0.0181","1.7013","1.3057","0.0101","1.5956","0.919","0.0005","2.8004","0.8603","0.1976","1.4421","-0.5264","0.005","0.0571","0.1157","0.0034","0.0767","0.1401","0.0004","0.1592","0.3067","0.0291","0.1099","0.1743"
16,"Black Gum","Nyssa sylvatica","black gum","All hardwoods","Ung","0.0353","2.0249","0.7048","0.009","1.8677","0.7144","0.0448","2.6855","-0.5911","0.0869","1.8541","-0.5491","0.0009","0.01","0.0167","0.0005","0.0205","0.0332","0.0024","0.0306","0.0456","0.0038","0.0262","0.0407"
17,"Black Locust","Robinia pseudoacacia","black locust","All hardwoods","Ung","0.0353","2.0249","0.7048","0.009","1.8677","0.7144","0.0448","2.6855","-0.5911","0.0869","1.8541","-0.5491","0.0009","0.01","0.0167","0.0005","0.0205","0.0332","0.0024","0.0306","0.0456","0.0038","0.0262","0.0407"
18,"Black Maple","Acer nigrum","black maple","All hardwoods","Ung","0.0353","2.0249","0.7048","0.009","1.8677","0.7144","0.0448","2.6855","-0.5911","0.0869","1.8541","-0.5491","0.0009","0.01","0.0167","0.0005","0.0205","0.0332","0.0024","0.0306","0.0456","0.0038","0.0262","0.0407"
19,"Black Oak","Quercus velutina","black oak","Red oak","Lambert","0.0285","1.8501","1.0204","0.0326","1.81","0.4153","0.0013","3.0637","0.3153","0.0582","1.5438","0","0.0049","0.0368","0.0732","0.0066","0.061","0.109","0.0005","0.0863","0.1273","0.0048","0.0295","0"
20,"Black Spruce","Picea mariana","black spruce","Black spruce","Ung","0.0335","1.7389","0.9835","0.0132","1.7657","0.5775","0.0405","3.1917","-1.3674","0.2078","2.5517","-1.3453","0.0005","0.012","0.0142","0.0005","0.0276","0.031","0.0026","0.055","0.061","0.0085","0.0497","0.0561"
21,"Black Walnut","Juglans nigra","black walnut","All hardwoods","Ung","0.0353","2.0249","0.7048","0.009","1.8677","0.7144","0.0448","2.6855","-0.5911","0.0869","1.8541","-0.5491","0.0009","0.01","0.0167","0.0005","0.0205","0.0332","0.0024","0.0306","0.0456","0.0038","0.0262","0.0407"
22,"Blue Ash","Fraxinus quadrangulata","blue ash","All hardwoods","Ung","0.0353","2.0249","0.7048","0.009","1.8677","0.7144","0.0448","2.6855","-0.5911","0.0869","1.8541","-0.5491","0.0009","0.01","0.0167","0.0005","0.0205","0.0332","0.0024","0.0306","0.0456","0.0038","0.0262","0.0407"
23,"Buckthorn","Rhamnus cathartica","buckthorn","All hardwoods","Ung","0.0353","2.0249","0.7048","0.009","1.8677","0.7144","0.0448","2.6855","-0.5911","0.0869","1.8541","-0.5491","0.0009","0.01","0.0167","0.0005","0.0205","0.0332","0.0024","0.0306","0.0456","0.0038","0.0262","0.0407"
24,"Bur Oak","Quercus macrocarpa","bur oak","White oak","Lambert","0.0442","1.6818","1.031","0.0308","1.7479","0.3504","0.0022","2.0165","1.3953","0.0053","1.2822","1.1323","0.0049","0.0457","0.0844","0.005","0.0672","0.1137","0.0006","0.0598","0.1278","0.0017","0.1077","0.1905"
25,"Butternut","Juglans cinerea","butternut","All hardwoods","Ung","0.0353","2.0249","0.7048","0.009","1.8677","0.7144","0.0448","2.6855","-0.5911","0.0869","1.8541","-0.5491","0.0009","0.01","0.0167","0.0005","0.0205","0.0332","0.0024","0.0306","0.0456","0.0038","0.0262","0.0407"
26,"Carolina Poplar","Populus xcanadensis","caroli poplar","All hardwoods","Ung","0.0353","2.0249","0.7048","0.009","1.8677","0.7144","0.0448","2.6855","-0.5911","0.0869","1.8541","-0.5491","0.0009","0.01","0.0167","0.0005","0.0205","0.0332","0.0024","0.0306","0.0456","0.0038","0.0262","0.0407"
27,"Chinquapin Oak","Quercus muehlenbergii","chinquapin oak","White oak","Lambert","0.0442","1.6818","1.031","0.0308","1.7479","0.3504","0.0022","2.0165","1.3953","0.0053","1.2822","1.1323","0.0049","0.0457","0.0844","0.005","0.0672","0.1137","0.0006","0.0598","0.1278","0.0017","0.1077","0.1905"
28,"Common Hackberry","Celtis occidentalis","common hackberry","All hardwoods","Ung","0.0353","2.0249","0.7048","0.009","1.8677","0.7144","0.0448","2.6855","-0.5911","0.0869","1.8541","-0.5491","0.0009","0.01","0.0167","0.0005","0.0205","0.0332","0.0024","0.0306","0.0456","0.0038","0.0262","0.0407"
29,"Cucumber Tree","Magnolia acuminata","cucumber tree","All hardwoods","Ung","0.0353","2.0249","0.7048","0.009","1.8677","0.7144","0.0448","2.6855","-0.5911","0.0869","1.8541","-0.5491","0.0009","0.01","0.0167","0.0005","0.0205","0.0332","0.0024","0.0306","0.0456","0.0038","0.0262","0.0407"
30,"Eastern Cottonwood","Populus deltoides","eastern cottonwood","All hardwoods","Ung","0.0353","2.0249","0.7048","0.009","1.8677","0.7144","0.0448","2.6855","-0.5911","0.0869","1.8541","-0.5491","0.0009","0.01","0.0167","0.0005","0.0205","0.0332","0.0024","0.0306","0.0456","0.0038","0.0262","0.0407"
31,"Eastern Hemlock","Tsuga canadensis","eastern hemlock","Eastern hemlock","Lambert","0.0257","1.9277","0.8576","0.0118","1.9893","0.47","0.0215","2.6553","-0.4682","0.1471","2.0108","-0.608","0.0019","0.0357","0.0549","0.0012","0.0614","0.0928","0.0044","0.1087","0.1564","0.0179","0.0959","0.1416"
32,"Eastern Red Cedar","Juniperis virginiana","eastern red cedar","Eastern redcedar","Lambert","0.052","1.7731","0.7054","0.0283","1.7079","0","0.0219","2.3585","0","0.2575","2.5136","-1.5565","0.0069","0.0347","0.0871","0.004","0.0488","0","0.0063","0.0899","0","0.1128","0.1784","0.3393"
33,"Eastern White Cedar","Thuja occidentalis","eastern white cedar","Eastern white-cedar","Lambert","0.0295","1.7026","0.9428","0.0076","1.7861","0.6132","0.0501","2.5165","-0.8774","0.0813","2.218","-0.7907","0.0018","0.0355","0.06","0.0008","0.0628","0.1045","0.0066","0.1117","0.1719","0.0105","0.1124","0.1708"
34,"Eastern White Pine","Pinus strobus","eastern white pine","Eastern white pine","Lambert","0.017","1.7779","1.137","0.0069","1.6589","0.9582","0.0184","3.1968","-1.0876","0.0584","2.2389","-0.5968","0.0008","0.0197","0.0305","0.0005","0.0369","0.0534","0.002","0.0665","0.0874","0.0113","0.0772","0.1038"
35,"European Larch","Larix decidua","european larch","Tamarack larch","Lambert","0.0276","1.6724","1.1443","0.012","1.7059","0.5811","0.0336","3.1335","-1.1559","0.1324","2.114","-0.8781","0.001","0.0208","0.0271","0.0004","0.0243","0.0318","0.0028","0.0694","0.0864","0.0107","0.077","0.0983"
36,"European Mountain-ash","Sorbus aucuparia","european mountain-ash","All hardwoods","Ung","0.0353","2.0249","0.7048","0.009","1.8677","0.7144","0.0448","2.6855","-0.5911","0.0869","1.8541","-0.5491","0.0009","0.01","0.0167","0.0005","0.0205","0.0332","0.0024","0.0306","0.0456","0.0038","0.0262","0.0407"
37,"European Weeping Birch","Betula pendula","european weeping birch","All hardwoods","Ung","0.0353","2.0249","0.7048","0.009","1.8677","0.7144","0.0448","2.6855","-0.5911","0.0869","1.8541","-0.5491","0.0009","0.01","0.0167","0.0005","0.0205","0.0332","0.0024","0.0306","0.0456","0.0038","0.0262","0.0407"
38,"Gray Birch","Betula populifolia","gray birch","Grey birch","Lambert","0.0295","1.9064","0.9139","0.0148","1.8433","0.5021","0.015","3.0347","-0.7629","0.0455","2.6447","-1.4955","0.0022","0.0375","0.0604","0.0036","0.1463","0.22","0.0058","0.2225","0.3448","0.0056","0.1905","0.2381"
39,"Green Ash","Fraxinus pennsylvanica var subintegerrima","green ash","Red ash","Lambert","0.0224","1.7845","1.066","0.0219","1.419","0.8963","0.0176","2.3313","0","0.0761","1.3077","0","0.0048","0.0816","0.1202","0.0051","0.0882","0.1307","0.0077","0.1358","0","0.0263","0.1043","0"
40,"Hawthorn species","Crataegus punctata","hawthorn species","All hardwoods","Ung","0.0353","2.0249","0.7048","0.009","1.8677","0.7144","0.0448","2.6855","-0.5911","0.0869","1.8541","-0.5491","0.0009","0.01","0.0167","0.0005","0.0205","0.0332","0.0024","0.0306","0.0456","0.0038","0.0262","0.0407"
41,"Hybrid Poplar","Populus spp","hybrid poplar","All hardwoods","Ung","0.0353","2.0249","0.7048","0.009","1.8677","0.7144","0.0448","2.6855","-0.5911","0.0869","1.8541","-0.5491","0.0009","0.01","0.0167","0.0005","0.0205","0.0332","0.0024","0.0306","0.0456","0.0038","0.0262","0.0407"
42,"Ironwood","Ostrya virginiana","ironwood","Hop-hornbeam","Lambert","0.0083","1.6534","1.7479","0.0012","1.1486","2.2903","0.0009","1.9152","1.7769","0.0247","2.0056","0","0.0033","0.0532","0.163","0.0009","0.1174","0.3428","0.0009","0.138","0.4215","0.0085","0.1271","0"
43,"Jack Pine","Pinus banksiana","jack pine","Jack pine","Lambert","0.0199","1.6883","1.2456","0.0141","1.5994","0.5957","0.0185","3.0584","-0.9816","0.0325","1.7879","0","0.001","0.0185","0.028","0.001","0.0388","0.0553","0.0021","0.0551","0.0654","0.0035","0.0359","0"
44,"Large-tooth Aspen","Populus grandidentata","large-tooth aspen","Largetooth aspen","Lambert","0.0128","2.0633","0.9516","0.024","2.3055","0","0.0131","3.1274","-0.8379","0.0382","2.1673","-0.6842","0.0011","0.0314","0.048","0.0022","0.0325","0","0.0017","0.0766","0.0902","0.0028","0.0547","0.0647"
45,"Manitoba Maple","Acer negundo","manitoba maple","All hardwoods","Ung","0.0353","2.0249","0.7048","0.009","1.8677","0.7144","0.0448","2.6855","-0.5911","0.0869","1.8541","-0.5491","0.0009","0.01","0.0167","0.0005","0.0205","0.0332","0.0024","0.0306","0.0456","0.0038","0.0262","0.0407"
46,"Northern Mountain-ash","Sorbus decora","northern mountain-ash","All hardwoods","Ung","0.0353","2.0249","0.7048","0.009","1.8677","0.7144","0.0448","2.6855","-0.5911","0.0869","1.8541","-0.5491","0.0009","0.01","0.0167","0.0005","0.0205","0.0332","0.0024","0.0306","0.0456","0.0038","0.0262","0.0407"
47,"Northern Red Oak","Fraxinus pennsylvanica var
austini","northern red oak","Red oak","Lambert","0.0285","1.8501","1.0204","0.0326","1.81","0.4153","0.0013","3.0637","0.3153","0.0582","1.5438","0","0.0049","0.0368","0.0732","0.0066","0.061","0.109","0.0005","0.0863","0.1273","0.0048","0.0295","0"
48,"Norway Spruce","Picea abies","norway spruce","All softwoods","Ung","0.0276","1.6868","1.0953","0.0101","1.8486","0.5525","0.0313","2.9974","-1.0383","0.1379","2.3981","-1.0418","0.0003","0.0068","0.0087","0.0002","0.0167","0.0204","0.0008","0.02","0.0245","0.0034","0.0224","0.0271"
49,"Paper Birch","Betula papyrifera","paper birch","White birch","Ung","0.0333","2.0794","0.6811","0.0079","1.9905","0.6553","0.0253","3.1518","-0.9083","0.1361","2.2978","-1.0934","0.0011","0.0157","0.0234","0.0005","0.0307","0.0451","0.002","0.0492","0.0682","0.0088","0.0525","0.0733"
50,"Pin Cherry","Prunus pensylvanica","pin cherry","All hardwoods","Ung","0.0353","2.0249","0.7048","0.009","1.8677","0.7144","0.0448","2.6855","-0.5911","0.0869","1.8541","-0.5491","0.0009","0.01","0.0167","0.0005","0.0205","0.0332","0.0024","0.0306","0.0456","0.0038","0.0262","0.0407"
51,"Pin Oak","Quercus palustris","pin oak","Red oak","Lambert","0.0285","1.8501","1.0204","0.0326","1.81","0.4153","0.0013","3.0637","0.3153","0.0582","1.5438","0","0.0049","0.0368","0.0732","0.0066","0.061","0.109","0.0005","0.0863","0.1273","0.0048","0.0295","0"
52,"Pitch Pine","Pinus rigida","pitch pine","All softwoods","Ung","0.0276","1.6868","1.0953","0.0101","1.8486","0.5525","0.0313","2.9974","-1.0383","0.1379","2.3981","-1.0418","0.0003","0.0068","0.0087","0.0002","0.0167","0.0204","0.0008","0.02","0.0245","0.0034","0.0224","0.0271"
53,"Populus species","Populus spp","populus species","All hardwoods","Ung","0.0353","2.0249","0.7048","0.009","1.8677","0.7144","0.0448","2.6855","-0.5911","0.0869","1.8541","-0.5491","0.0009","0.01","0.0167","0.0005","0.0205","0.0332","0.0024","0.0306","0.0456","0.0038","0.0262","0.0407"
54,"Red Maple","Acer rubrum","red maple","Red maple","Lambert","0.0315","2.0342","0.7485","0.0283","2.0907","0","0.0225","2.4106","0","0.0571","1.4898","0","0.0042","0.0423","0.077","0.0029","0.0332","0","0.0034","0.0475","0","0.0064","0.0358","0"
55,"Red Pine","Pinus resinosa","red pine","Red pine","Lambert","0.0106","1.7725","1.3285","0.0277","1.5192","0.4645","0.0125","3.3865","-1.1939","0.0731","2.3439","-0.7378","0.0005","0.0143","0.0229","0.0018","0.0425","0.0519","0.001","0.0403","0.0551","0.0068","0.0494","0.0639"
56,"Red Spruce","Picea rubens","red spruce","Red spruce","Lambert","0.0143","1.6441","1.4065","0.0274","2.0188","0","0.0005","3.3136","0","0.0106","2.2709","0","0.0016","0.034","0.069","0.0041","0.0481","0","0.0001","0.0779","0","0.0022","0.0649","0"
57,"Rock Elm","Ulmus thomasii","rock elm","All hardwoods","Ung","0.0353","2.0249","0.7048","0.009","1.8677","0.7144","0.0448","2.6855","-0.5911","0.0869","1.8541","-0.5491","0.0009","0.01","0.0167","0.0005","0.0205","0.0332","0.0024","0.0306","0.0456","0.0038","0.0262","0.0407"
58,"Salix tree species","Populus spp","salix tree species","All hardwoods","Ung","0.0353","2.0249","0.7048","0.009","1.8677","0.7144","0.0448","2.6855","-0.5911","0.0869","1.8541","-0.5491","0.0009","0.01","0.0167","0.0005","0.0205","0.0332","0.0024","0.0306","0.0456","0.0038","0.0262","0.0407"
59,"Sassafras","Sassafras albidum","sassafras","All hardwoods","Ung","0.0353","2.0249","0.7048","0.009","1.8677","0.7144","0.0448","2.6855","-0.5911","0.0869","1.8541","-0.5491","0.0009","0.01","0.0167","0.0005","0.0205","0.0332","0.0024","0.0306","0.0456","0.0038","0.0262","0.0407"
60,"Scotch Pine","Pinus sylvestris","scotch pine","All softwoods","Ung","0.0276","1.6868","1.0953","0.0101","1.8486","0.5525","0.0313","2.9974","-1.0383","0.1379","2.3981","-1.0418","0.0003","0.0068","0.0087","0.0002","0.0167","0.0204","0.0008","0.02","0.0245","0.0034","0.0224","0.0271"
61,"Shagbark Hickory","Carya ovata","shagbark hickory","Hickory","Lambert","0.0139","1.5913","1.508","0.0081","1.4943","1.1324","0.005","3.0463","0","0.0121","2.0865","0","0.002","0.0472","0.0797","0.0021","0.0886","0.1413","0.0014","0.09","0","0.0025","0.0623","0"
62,"Shumard's Oak","Quercus shumardii","shumard's oak","Red oak","Lambert","0.0285","1.8501","1.0204","0.0326","1.81","0.4153","0.0013","3.0637","0.3153","0.0582","1.5438","0","0.0049","0.0368","0.0732","0.0066","0.061","0.109","0.0005","0.0863","0.1273","0.0048","0.0295","0"
63,"Silver Maple","Acer saccharinum","silver maple","Silver maple","Lambert","0.0274","1.7126","1.1086","0.0123","1.825","0.501","0.0543","3.7343","-1.6497","6.6808","2.1092","-2.1697","0.0055","0.0581","0.1198","0.0044","0.0955","0.199","0.0391","0.2311","0.4651","3.3429","0.2006","0.3733"
64,"Slippery Elm","Ulmus rubra","slippery elm","All hardwoods","Ung","0.0353","2.0249","0.7048","0.009","1.8677","0.7144","0.0448","2.6855","-0.5911","0.0869","1.8541","-0.5491","0.0009","0.01","0.0167","0.0005","0.0205","0.0332","0.0024","0.0306","0.0456","0.0038","0.0262","0.0407"
65,"Sorbus species","Populus spp","sorbus species","All hardwoods","Ung","0.0353","2.0249","0.7048","0.009","1.8677","0.7144","0.0448","2.6855","-0.5911","0.0869","1.8541","-0.5491","0.0009","0.01","0.0167","0.0005","0.0205","0.0332","0.0024","0.0306","0.0456","0.0038","0.0262","0.0407"
66,"Striped Maple","Acer pensylvanicum","striped maple","All hardwoods","Ung","0.0353","2.0249","0.7048","0.009","1.8677","0.7144","0.0448","2.6855","-0.5911","0.0869","1.8541","-0.5491","0.0009","0.01","0.0167","0.0005","0.0205","0.0332","0.0024","0.0306","0.0456","0.0038","0.0262","0.0407"
67,"Sugar Maple","Acer saccharum","sugar maple","Sugar maple","Lambert","0.0301","2.0313","0.8171","0.0103","1.7111","0.8509","0.0661","2.594","-0.4933","2.5019","2.4527","-2.3008","0.004","0.0307","0.0717","0.0037","0.0749","0.1772","0.0161","0.0706","0.149","0.2763","0.0698","0.1089"
68,"Swamp White Oak","Quercus bicolor","swamp white oak","White oak","Lambert","0.0442","1.6818","1.031","0.0308","1.7479","0.3504","0.0022","2.0165","1.3953","0.0053","1.2822","1.1323","0.0049","0.0457","0.0844","0.005","0.0672","0.1137","0.0006","0.0598","0.1278","0.0017","0.1077","0.1905"
69,"Sweet Cherry","Prunus avium","sweet cherry","All hardwoods","Ung","0.0353","2.0249","0.7048","0.009","1.8677","0.7144","0.0448","2.6855","-0.5911","0.0869","1.8541","-0.5491","0.0009","0.01","0.0167","0.0005","0.0205","0.0332","0.0024","0.0306","0.0456","0.0038","0.0262","0.0407"
70,"Sweet Chestnut","Castanea sativa","sweet chestnut","All hardwoods","Ung","0.0353","2.0249","0.7048","0.009","1.8677","0.7144","0.0448","2.6855","-0.5911","0.0869","1.8541","-0.5491","0.0009","0.01","0.0167","0.0005","0.0205","0.0332","0.0024","0.0306","0.0456","0.0038","0.0262","0.0407"
71,"Sweet Pignut Hickory","Carya glabra","sweet pignut hickory","Hickory","Lambert","0.0139","1.5913","1.508","0.0081","1.4943","1.1324","0.005","3.0463","0","0.0121","2.0865","0","0.002","0.0472","0.0797","0.0021","0.0886","0.1413","0.0014","0.09","0","0.0025","0.0623","0"
72,"Sycamore","Platanus occidentalis","sycamore","All hardwoods","Ung","0.0353","2.0249","0.7048","0.009","1.8677","0.7144","0.0448","2.6855","-0.5911","0.0869","1.8541","-0.5491","0.0009","0.01","0.0167","0.0005","0.0205","0.0332","0.0024","0.0306","0.0456","0.0038","0.0262","0.0407"
73,"Trembling Aspen","Populus tremuloides","trembling aspen","Trembling aspen","Ung","0.0143","1.9369","1.0579","0.0063","2.0744","0.6691","0.015","2.9068","-0.6306","0.0284","1.602","0","0.0005","0.0169","0.0259","0.0005","0.0343","0.0511","0.0012","0.0436","0.062","0.0017","0.0213","0"
74,"Tulip Tree","Liriodendron tulipifera","tulip tree","All hardwoods","Ung","0.0353","2.0249","0.7048","0.009","1.8677","0.7144","0.0448","2.6855","-0.5911","0.0869","1.8541","-0.5491","0.0009","0.01","0.0167","0.0005","0.0205","0.0332","0.0024","0.0306","0.0456","0.0038","0.0262","0.0407"
75,"Unknown Conifer","Unknown","unknown conifer","All softwoods","Ung","0.0276","1.6868","1.0953","0.0101","1.8486","0.5525","0.0313","2.9974","-1.0383","0.1379","2.3981","-1.0418","0.0003","0.0068","0.0087","0.0002","0.0167","0.0204","0.0008","0.02","0.0245","0.0034","0.0224","0.0271"
76,"Unknown Hardwood","Unknown","unknown hardwood","All hardwoods","Ung","0.0353","2.0249","0.7048","0.009","1.8677","0.7144","0.0448","2.6855","-0.5911","0.0869","1.8541","-0.5491","0.0009","0.01","0.0167","0.0005","0.0205","0.0332","0.0024","0.0306","0.0456","0.0038","0.0262","0.0407"
77,"Unknown Tree Species","Unknown","unknown tree species","All species","Ung","0.0283","1.8298","0.9546","0.012","1.6378","0.7746","0.0338","2.6624","-0.5743","0.1699","2.3289","-1.1316","0.0004","0.0075","0.0101","0.0003","0.017","0.0233","0.0008","0.0182","0.0233","0.0036","0.0184","0.0235"
78,"Weeping Willow","Salix alba var. vitellina","weeping willow","All hardwoods","Ung","0.0353","2.0249","0.7048","0.009","1.8677","0.7144","0.0448","2.6855","-0.5911","0.0869","1.8541","-0.5491","0.0009","0.01","0.0167","0.0005","0.0205","0.0332","0.0024","0.0306","0.0456","0.0038","0.0262","0.0407"
79,"White Ash","Fraxinus americana","white ash","White ash","Lambert","0.0224","1.7438","1.1899","0.0126","1.6456","0.7893","0.0354","2.3046","0","0.0195","1.0509","0.7836","0.0046","0.0364","0.0917","0.0034","0.0607","0.1361","0.0084","0.0739","0","0.0093","0.1073","0.198"
80,"White Oak","Quercus alba","white oak","White oak","Lambert","0.0442","1.6818","1.031","0.0308","1.7479","0.3504","0.0022","2.0165","1.3953","0.0053","1.2822","1.1323","0.0049","0.0457","0.0844","0.005","0.0672","0.1137","0.0006","0.0598","0.1278","0.0017","0.1077","0.1905"
81,"White Spruce","Picea glauca","white spruce","White spruce","Ung","0.0252","1.7819","1.0022","0.0096","1.6901","0.7393","0.0322","2.8961","-0.9203","0.1832","2.4144","-1.0948","0.0006","0.0174","0.0199","0.0004","0.0393","0.0441","0.0019","0.0592","0.0641","0.008","0.0518","0.0573"
82,"White Willow","Salix alba","white willow","All hardwoods","Ung","0.0353","2.0249","0.7048","0.009","1.8677","0.7144","0.0448","2.6855","-0.5911","0.0869","1.8541","-0.5491","0.0009","0.01","0.0167","0.0005","0.0205","0.0332","0.0024","0.0306","0.0456","0.0038","0.0262","0.0407"
83,"Yellow Birch","Betula alleghaniensis","yellow birch","Yellow birch","Lambert","0.0259","1.9044","0.9715","0.0069","2.0834","0.5371","0.0325","2.3851","0","0.1683","1.2764","0","0.0038","0.0305","0.0709","0.0015","0.0534","0.1178","0.0025","0.0231","0","0.0222","0.038","0"
